meter_id,date,temp_normed,log_mean_z,log_std_z
19,2018-09-06,0.747149,-0.3462307,0.23808682
20,2018-09-06,0.747149,1.6083955,0.5678361
21,2018-09-06,0.747149,-2.0281038,-1.3242273
22,2018-09-06,0.747149,-0.47861496,0.09929683
23,2018-09-06,0.747149,-0.76584864,-0.90360785
0,2018-09-07,0.7714539,-1.2208424,-1.0881362
1,2018-09-07,0.7714539,-0.54515696,0.07936202
2,2018-09-07,0.7714539,-2.3845487,-1.4181775
3,2018-09-07,0.7714539,-0.08789866,0.60231775
4,2018-09-07,0.7714539,1.4706229,1.4643416
5,2018-09-07,0.7714539,1.134309,0.5736433
6,2018-09-07,0.7714539,1.1497766,2.071669
7,2018-09-07,0.7714539,-0.9739769,-0.71693224
8,2018-09-07,0.7714539,-0.88578236,0.11621009
9,2018-09-07,0.7714539,0.35542262,-0.6889292
10,2018-09-07,0.7714539,0.67278147,0.62068534
11,2018-09-07,0.7714539,-0.49099675,-0.32256716
12,2018-09-07,0.7714539,0.4794215,0.6102565
13,2018-09-07,0.7714539,-0.59058994,-0.5712286
14,2018-09-07,0.7714539,-0.80831707,-0.64643276
15,2018-09-07,0.7714539,1.5362144,-0.39806014
16,2018-09-07,0.7714539,0.29225126,0.62930757
17,2018-09-07,0.7714539,0.71494573,1.4208596
18,2018-09-07,0.7714539,-0.9455909,0.15031488
19,2018-09-07,0.7714539,-0.48542175,-0.06525572
20,2018-09-07,0.7714539,1.3839841,0.3453968
21,2018-09-07,0.7714539,-2.3421443,-1.903723
22,2018-09-07,0.7714539,-0.7252616,-0.533921
23,2018-09-07,0.7714539,-0.90285915,-1.6242568
0,2018-09-08,0.8637807,-0.98638666,-0.7483077
1,2018-09-08,0.8637807,-0.58721656,-0.0030961637
2,2018-09-08,0.8637807,-2.3108423,-1.6521919
3,2018-09-08,0.8637807,-0.29229757,0.063744456
4,2018-09-08,0.8637807,0.74293536,-2.297247
5,2018-09-08,0.8637807,0.74375516,-0.49866572
6,2018-09-08,0.8637807,-0.3347215,-2.2749593
7,2018-09-08,0.8637807,-1.1655788,-0.76549023
8,2018-09-08,0.8637807,-1.0199343,-0.39819476
9,2018-09-08,0.8637807,0.14312044,-1.7901534
10,2018-09-08,0.8637807,-0.07960087,-0.3825661
11,2018-09-08,0.8637807,-0.5258954,-0.16789189
12,2018-09-08,0.8637807,0.46721727,0.6805569
13,2018-09-08,0.8637807,-0.9747339,-0.9691672
14,2018-09-08,0.8637807,-0.8401952,0.33851174
15,2018-09-08,0.8637807,1.4771526,-0.1104813
16,2018-09-08,0.8637807,0.18683213,0.40035063
17,2018-09-08,0.8637807,0.3428119,0.67271864
18,2018-09-08,0.8637807,-0.9841841,0.05353866
19,2018-09-08,0.8637807,-0.4369113,-0.08271095
20,2018-09-08,0.8637807,0.9404912,0.62185633
21,2018-09-08,0.8637807,-2.260877,-1.6226027
22,2018-09-08,0.8637807,-1.1965835,-1.033681
23,2018-09-08,0.8637807,-0.70365125,-0.96660167
0,2018-09-09,1.0756452,-1.0357853,-0.6067075
1,2018-09-09,1.0756452,-0.48380733,0.28690645
2,2018-09-09,1.0756452,-2.2842615,-1.2599909
3,2018-09-09,1.0756452,-0.26295826,0.115472674
4,2018-09-09,1.0756452,0.78854585,-1.3159003
5,2018-09-09,1.0756452,0.7279592,-0.3545374
6,2018-09-09,1.0756452,-0.34376433,-2.3247974
7,2018-09-09,1.0756452,-1.0746739,-0.020571345
8,2018-09-09,1.0756452,-1.0877268,-0.085738264
9,2018-09-09,1.0756452,0.18507732,-1.387763
10,2018-09-09,1.0756452,-0.2775738,-0.3900641
11,2018-09-09,1.0756452,-0.5237406,-0.12170854
12,2018-09-09,1.0756452,0.36678544,0.6091349
13,2018-09-09,1.0756452,-0.96526486,-0.6540619
14,2018-09-09,1.0756452,-0.90037996,0.20965424
15,2018-09-09,1.0756452,1.3774204,-0.16942962
16,2018-09-09,1.0756452,0.27229518,0.6243787
17,2018-09-09,1.0756452,0.67565614,0.8441948
18,2018-09-09,1.0756452,-1.0315201,-0.14744617
19,2018-09-09,1.0756452,-0.45466438,0.032633036
20,2018-09-09,1.0756452,0.8937737,0.8327181
21,2018-09-09,1.0756452,-2.2836804,-1.6855129
22,2018-09-09,1.0756452,-1.1521553,-0.5987943
23,2018-09-09,1.0756452,-0.7600929,-0.99247926
0,2018-09-10,1.1623722,-1.0361435,-0.59871167
1,2018-09-10,1.1623722,-0.5272598,0.17916344
2,2018-09-10,1.1623722,-2.3315303,-0.97764283
3,2018-09-10,1.1623722,-0.10392031,0.46516064
4,2018-09-10,1.1623722,1.6064476,1.661281
5,2018-09-10,1.1623722,1.1013037,0.58694434
6,2018-09-10,1.1623722,1.2090777,2.073515
7,2018-09-10,1.1623722,-1.2067192,-0.5711458
8,2018-09-10,1.1623722,-1.0096133,0.07226581
9,2018-09-10,1.1623722,0.5353897,0.19316465
10,2018-09-10,1.1623722,0.5870762,1.2860548
11,2018-09-10,1.1623722,-0.4994271,-0.115490705
12,2018-09-10,1.1623722,0.37498644,0.5679013
13,2018-09-10,1.1623722,-0.55323315,-0.40031168
14,2018-09-10,1.1623722,-0.6118122,0.46562073
15,2018-09-10,1.1623722,1.5735986,0.52135897
16,2018-09-10,1.1623722,0.28695887,0.636519
17,2018-09-10,1.1623722,1.2396699,0.7844878
18,2018-09-10,1.1623722,-1.0072507,0.04505509
19,2018-09-10,1.1623722,-0.49715894,0.10166019
20,2018-09-10,1.1623722,1.3557857,1.0949239
21,2018-09-10,1.1623722,-2.2341154,-1.5538254
22,2018-09-10,1.1623722,-0.779309,-0.38867787
23,2018-09-10,1.1623722,-0.7411824,-0.8872899
0,2018-09-11,1.212611,-1.0100698,-0.7568009
1,2018-09-11,1.212611,-0.5834776,0.12279059
2,2018-09-11,1.212611,-2.3947253,-0.8597667
3,2018-09-11,1.212611,-0.05695961,0.5175202
4,2018-09-11,1.212611,1.5882151,1.7616408
5,2018-09-11,1.212611,1.0408473,0.5244638
6,2018-09-11,1.212611,1.2536675,2.1035936
7,2018-09-11,1.212611,-1.0254179,-0.4945671
8,2018-09-11,1.212611,-1.1018139,0.009580387
9,2018-09-11,1.212611,0.56801564,0.24318464
10,2018-09-11,1.212611,0.6728503,1.0164067
11,2018-09-11,1.212611,-0.5973944,-0.036103178
12,2018-09-11,1.212611,0.39277664,0.60546035
13,2018-09-11,1.212611,-0.44642714,-0.14057033
14,2018-09-11,1.212611,-0.8611436,0.4504107
15,2018-09-11,1.212611,1.538967,-0.101011
16,2018-09-11,1.212611,0.21884699,0.7472514
17,2018-09-11,1.212611,1.2587245,0.7448629
18,2018-09-11,1.212611,-1.0809201,-0.115321934
19,2018-09-11,1.212611,-0.5348167,-0.05588917
20,2018-09-11,1.212611,1.5158669,1.1903112
21,2018-09-11,1.212611,-2.323574,-1.8842036
22,2018-09-11,1.212611,-0.75312144,-0.32293138
23,2018-09-11,1.212611,-0.77020514,-1.0781248
0,2018-09-12,1.261383,-0.9403013,-0.7051829
1,2018-09-12,1.261383,-0.65028244,-0.090431035
2,2018-09-12,1.261383,-2.3897748,-1.0398232
3,2018-09-12,1.261383,0.020880496,0.5979002
4,2018-09-12,1.261383,1.689865,1.651554
5,2018-09-12,1.261383,1.09024,0.6629212
6,2018-09-12,1.261383,1.3227758,2.1297686
7,2018-09-12,1.261383,-1.1280886,-0.49554518
8,2018-09-12,1.261383,-0.9171045,-0.014606475
9,2018-09-12,1.261383,0.4534679,0.23709875
10,2018-09-12,1.261383,0.5930191,0.30733395
11,2018-09-12,1.261383,-0.50152045,-0.29360548
12,2018-09-12,1.261383,0.446985,0.6688051
13,2018-09-12,1.261383,-0.37730324,-0.0356615
14,2018-09-12,1.261383,-1.0486832,0.23216222
15,2018-09-12,1.261383,1.4928527,0.6298783
16,2018-09-12,1.261383,0.24328893,0.7826666
17,2018-09-12,1.261383,1.1766976,0.90120804
18,2018-09-12,1.261383,-1.0238816,-0.03689966
19,2018-09-12,1.261383,-0.5744293,-0.02515403
20,2018-09-12,1.261383,1.4759483,0.83074194
21,2018-09-12,1.261383,-2.243173,-1.7653239
22,2018-09-12,1.261383,-0.83083534,-0.39952
23,2018-09-12,1.261383,-0.81411225,-0.8829444
0,2018-09-13,1.024578,-1.1534655,-0.9619833
1,2018-09-13,1.024578,-0.5277452,0.11628201
2,2018-09-13,1.024578,-2.785831,-1.7726005
3,2018-09-13,1.024578,0.018542599,0.5180595
4,2018-09-13,1.024578,1.7080534,1.4262637
5,2018-09-13,1.024578,0.78017926,0.93178725
6,2018-09-13,1.024578,1.3417808,2.2058878
7,2018-09-13,1.024578,-1.1034595,-0.72890705
8,2018-09-13,1.024578,-0.8396213,-0.102089785
9,2018-09-13,1.024578,0.6110768,0.33260208
10,2018-09-13,1.024578,0.3132102,0.062602
11,2018-09-13,1.024578,-0.5193249,-0.23558635
12,2018-09-13,1.024578,0.39893427,0.6504019
13,2018-09-13,1.024578,-0.32629478,-0.19557077
14,2018-09-13,1.024578,-1.1981305,0.26598412
15,2018-09-13,1.024578,1.5657105,0.57066685
16,2018-09-13,1.024578,0.33106235,0.6318134
17,2018-09-13,1.024578,1.3427342,0.9745977
18,2018-09-13,1.024578,-0.9776838,-0.34885255
19,2018-09-13,1.024578,-0.46665528,0.072166085
20,2018-09-13,1.024578,1.5564278,0.9077498
21,2018-09-13,1.024578,-2.09158,-1.460236
22,2018-09-13,1.024578,-0.7647742,-0.48469308
23,2018-09-13,1.024578,-1.0537223,-1.0894495
0,2018-09-14,0.8441723,-1.1467849,-1.1171663
1,2018-09-14,0.8441723,-0.5816893,-0.11346777
2,2018-09-14,0.8441723,-2.8874724,-1.6522318
3,2018-09-14,0.8441723,0.0023291796,0.58965653
4,2018-09-14,0.8441723,1.5583427,1.6260061
5,2018-09-14,0.8441723,0.8940338,0.6114651
6,2018-09-14,0.8441723,1.1017928,1.8829774
7,2018-09-14,0.8441723,-1.0521482,-0.4397659
8,2018-09-14,0.8441723,-0.9636706,-0.066617765
9,2018-09-14,0.8441723,0.64129514,0.34103695
10,2018-09-14,0.8441723,0.257759,0.04693956
11,2018-09-14,0.8441723,-0.58872825,-0.2851915
12,2018-09-14,0.8441723,0.48316094,0.68221086
13,2018-09-14,0.8441723,-0.5393328,-0.72265196
14,2018-09-14,0.8441723,-0.77690685,0.096229434
15,2018-09-14,0.8441723,1.4177524,0.42839754
16,2018-09-14,0.8441723,0.4464221,0.76110166
17,2018-09-14,0.8441723,1.2944591,1.9251587
18,2018-09-14,0.8441723,-0.9756501,-0.11525308
19,2018-09-14,0.8441723,-0.585576,-0.14858632
20,2018-09-14,0.8441723,1.5193899,0.4908202
21,2018-09-14,0.8441723,-2.1128724,-1.6301405
22,2018-09-14,0.8441723,-0.69970125,-0.18949753
